Subsistema,Week of Data Escala de Tempo 1 CMO,Data do Incio da Semana Din Instante CMO,Data Escala de Tempo 1 CMO,Período Exibido CMO,Texto Data do Incio da Semana Din Instante CMO,Média Semanal
Sudeste/Centro-Oeste,08/18/2018,08/24/2018,08/18/2018,Semana Operativa, a ,763.67
Sudeste/Centro-Oeste,08/25/2018,08/31/2018,08/25/2018,Semana Operativa, a ,766.28
Sudeste/Centro-Oeste,09/01/2018,09/07/2018,09/01/2018,Semana Operativa, a ,472.16
Sudeste/Centro-Oeste,09/08/2018,09/14/2018,09/08/2018,Semana Operativa, a ,482.08
Sudeste/Centro-Oeste,09/15/2018,09/21/2018,09/15/2018,Semana Operativa, a ,478.94
Sudeste/Centro-Oeste,09/22/2018,09/28/2018,09/22/2018,Semana Operativa, a ,428.06
Sudeste/Centro-Oeste,09/29/2018,10/05/2018,09/29/2018,Semana Operativa, a ,387.0299
Sudeste/Centro-Oeste,10/06/2018,10/12/2018,10/06/2018,Semana Operativa, a ,323.41
Sudeste/Centro-Oeste,10/13/2018,10/19/2018,10/13/2018,Semana Operativa, a ,267.3
Sudeste/Centro-Oeste,10/20/2018,10/26/2018,10/20/2018,Semana Operativa, a ,226.32
Sudeste/Centro-Oeste,10/27/2018,11/02/2018,10/27/2018,Semana Operativa, a ,136.81
Sudeste/Centro-Oeste,11/03/2018,11/09/2018,11/03/2018,Semana Operativa, a ,143.93
Sudeste/Centro-Oeste,11/10/2018,11/16/2018,11/10/2018,Semana Operativa, a ,114.48
Sudeste/Centro-Oeste,11/17/2018,11/23/2018,11/17/2018,Semana Operativa, a ,113.4
Sudeste/Centro-Oeste,11/24/2018,11/30/2018,11/24/2018,Semana Operativa, a ,96.9
Sudeste/Centro-Oeste,12/01/2018,12/07/2018,12/01/2018,Semana Operativa, a ,54.14
Sudeste/Centro-Oeste,12/08/2018,12/14/2018,12/08/2018,Semana Operativa, a ,62.19
Sudeste/Centro-Oeste,12/15/2018,12/21/2018,12/15/2018,Semana Operativa, a ,73.69
Sudeste/Centro-Oeste,12/22/2018,12/28/2018,12/22/2018,Semana Operativa, a ,81.73
Sudeste/Centro-Oeste,12/29/2018,01/04/2019,12/29/2018,Semana Operativa, a ,139.45
