MAX MIN 1 ENAS Simp 4,Measure Names,MIN MAX 1 ENAS Simp 4,Month of Data Escala de Tempo 1 ENAS Simp 4,Data do Incio da Semana Din Instante ENAS Simp 4,Data Escala de Tempo 1 ENAS Simp 4,Período Exibido ENAS,Subsistema,Texto Data Incio da Semana Din Instante ENAS,Selecione Tipo de ENAS Simp 4
11/7/2009,Selecione Tipo de ENAS Simp 4,10/26/2009,November 2009,,11/1/2009 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,36406
10/7/2009,Selecione Tipo de ENAS Simp 4,9/25/2009,October 2009,,10/1/2009 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,35874
9/7/2009,Selecione Tipo de ENAS Simp 4,8/26/2009,September 2009,,9/1/2009 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,31058
8/7/2009,Selecione Tipo de ENAS Simp 4,7/26/2009,August 2009,,8/1/2009 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,23743
7/7/2009,Selecione Tipo de ENAS Simp 4,6/25/2009,July 2009,,7/1/2009 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,27295
6/7/2009,Selecione Tipo de ENAS Simp 4,5/26/2009,June 2009,,6/1/2009 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,24853
5/7/2009,Selecione Tipo de ENAS Simp 4,4/25/2009,May 2009,,5/1/2009 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,30321
4/7/2009,Selecione Tipo de ENAS Simp 4,3/26/2009,April 2009,,4/1/2009 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,47047
3/7/2009,Selecione Tipo de ENAS Simp 4,2/23/2009,March 2009,,3/1/2009 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,45869
2/7/2009,Selecione Tipo de ENAS Simp 4,1/26/2009,February 2009,,2/1/2009 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,63980
1/7/2009,Selecione Tipo de ENAS Simp 4,12/26/2008,January 2009,,1/1/2009 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,52764
12/7/2008,Selecione Tipo de ENAS Simp 4,11/25/2008,December 2008,,12/1/2008 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,36588
11/7/2008,Selecione Tipo de ENAS Simp 4,10/26/2008,November 2008,,11/1/2008 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,25110
10/7/2008,Selecione Tipo de ENAS Simp 4,9/25/2008,October 2008,,10/1/2008 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,20249
9/7/2008,Selecione Tipo de ENAS Simp 4,8/26/2008,September 2008,,9/1/2008 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,15756
8/7/2008,Selecione Tipo de ENAS Simp 4,7/26/2008,August 2008,,8/1/2008 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,22161
7/7/2008,Selecione Tipo de ENAS Simp 4,6/25/2008,July 2008,,7/1/2008 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,20671
6/7/2008,Selecione Tipo de ENAS Simp 4,5/26/2008,June 2008,,6/1/2008 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,27472
5/7/2008,Selecione Tipo de ENAS Simp 4,4/25/2008,May 2008,,5/1/2008 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,35143
4/7/2008,Selecione Tipo de ENAS Simp 4,3/26/2008,April 2008,,4/1/2008 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,50522
3/7/2008,Selecione Tipo de ENAS Simp 4,2/24/2008,March 2008,,3/1/2008 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,61448
2/7/2008,Selecione Tipo de ENAS Simp 4,1/26/2008,February 2008,,2/1/2008 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,61334
1/7/2008,Selecione Tipo de ENAS Simp 4,12/26/2007,January 2008,,1/1/2008 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,36679
12/7/2007,Selecione Tipo de ENAS Simp 4,11/25/2007,December 2007,,12/1/2007 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,28837
11/7/2007,Selecione Tipo de ENAS Simp 4,10/26/2007,November 2007,,11/1/2007 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,22923
10/7/2007,Selecione Tipo de ENAS Simp 4,9/25/2007,October 2007,,10/1/2007 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,12987
9/7/2007,Selecione Tipo de ENAS Simp 4,8/26/2007,September 2007,,9/1/2007 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,12866
8/7/2007,Selecione Tipo de ENAS Simp 4,7/26/2007,August 2007,,8/1/2007 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,18420
7/7/2007,Selecione Tipo de ENAS Simp 4,6/25/2007,July 2007,,7/1/2007 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,22805
6/7/2007,Selecione Tipo de ENAS Simp 4,5/26/2007,June 2007,,6/1/2007 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,23394
5/7/2007,Selecione Tipo de ENAS Simp 4,4/25/2007,May 2007,,5/1/2007 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,28212
4/7/2007,Selecione Tipo de ENAS Simp 4,3/26/2007,April 2007,,4/1/2007 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,34189
3/7/2007,Selecione Tipo de ENAS Simp 4,2/23/2007,March 2007,,3/1/2007 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,49542
2/7/2007,Selecione Tipo de ENAS Simp 4,1/26/2007,February 2007,,2/1/2007 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,87708
1/7/2007,Selecione Tipo de ENAS Simp 4,12/26/2006,January 2007,,1/1/2007 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,91862
12/7/2006,Selecione Tipo de ENAS Simp 4,11/25/2006,December 2006,,12/1/2006 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,54270
11/7/2006,Selecione Tipo de ENAS Simp 4,10/26/2006,November 2006,,11/1/2006 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,27276
10/7/2006,Selecione Tipo de ENAS Simp 4,9/25/2006,October 2006,,10/1/2006 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,24904
9/7/2006,Selecione Tipo de ENAS Simp 4,8/26/2006,September 2006,,9/1/2006 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,17777
8/7/2006,Selecione Tipo de ENAS Simp 4,7/26/2006,August 2006,,8/1/2006 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,16697
7/7/2006,Selecione Tipo de ENAS Simp 4,6/25/2006,July 2006,,7/1/2006 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,19492
6/7/2006,Selecione Tipo de ENAS Simp 4,5/26/2006,June 2006,,6/1/2006 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,22055
5/7/2006,Selecione Tipo de ENAS Simp 4,4/25/2006,May 2006,,5/1/2006 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,27371
4/7/2006,Selecione Tipo de ENAS Simp 4,3/26/2006,April 2006,,4/1/2006 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,46596
3/7/2006,Selecione Tipo de ENAS Simp 4,2/23/2006,March 2006,,3/1/2006 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,53957
2/7/2006,Selecione Tipo de ENAS Simp 4,1/26/2006,February 2006,,2/1/2006 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,45281
1/7/2006,Selecione Tipo de ENAS Simp 4,12/26/2005,January 2006,,1/1/2006 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,43279
12/7/2005,Selecione Tipo de ENAS Simp 4,11/25/2005,December 2005,,12/1/2005 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,52106
11/7/2005,Selecione Tipo de ENAS Simp 4,10/26/2005,November 2005,,11/1/2005 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,26776
10/7/2005,Selecione Tipo de ENAS Simp 4,9/25/2005,October 2005,,10/1/2005 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,22237
